Company_ID,Ownership_Type,Internal_Control_Score,Effective_Tax_Rate,Audit_Likelihood,Offshore_Transactions,Previous_Fines,Board_Independence,Revenue,Profit_Before_Tax,Leverage_Ratio,Market_Region,Governance_Score,Restatement_History,Whistleblower_Reports,Tax_Risk_Score
C0097,Public,59,11.18,0.09,4,3658695,43,606499665,3680187,1.41,North America,77,0,3,High
C0098,Foreign Subsidiary,74,29.85,0.97,4,1696669,88,411125687,42008123,1.79,North America,53,0,3,High
C0099,Public,90,21.13,0.98,6,390944,45,735066628,29410631,4.18,South America,62,0,3,Medium
C0100,Public,89,9.59,0.13,0,4306720,30,697346709,154153579,3.61,EU,99,0,4,High
C0101,Foreign Subsidiary,93,20.17,0.1,4,579315,23,307305033,151050358,4.95,Middle East,71,1,1,High
C0102,Foreign Subsidiary,57,17.4,0.41,3,2921256,29,980640973,4326589,0.52,Asia,55,1,2,High
C0103,Foreign Subsidiary,85,31.31,0.96,4,4943266,31,414943883,84260471,1.8,Middle East,45,0,3,High
C0104,Public,63,8.78,0.4,4,4550063,31,104337567,185567400,4.41,EU,50,1,2,High
C0105,Foreign Subsidiary,47,31.26,0.36,7,2550250,24,791426150,77926537,0.23,Middle East,31,0,1,High
C0106,Foreign Subsidiary,69,20.37,0.7,6,3784851,24,577117155,197553964,1.75,North America,88,0,3,High
C0107,Public,83,17.13,0.18,6,517964,42,16292466,81494217,4.87,Middle East,37,0,1,Medium
C0108,Foreign Subsidiary,92,9.86,0.36,4,1115019,75,632916721,168423986,2.78,EU,36,1,5,High
C0109,Public,49,26.02,0.29,5,3848919,65,51625082,170757343,1.61,Middle East,50,0,3,High
C0110,Private,62,32.8,0.6,4,3519968,21,136928480,133158051,4.66,EU,47,1,2,High
C0111,Foreign Subsidiary,91,16.26,0.16,10,4503346,20,370532623,63890898,1.8,North America,30,0,2,High
C0112,Private,88,12.25,0.55,5,118799,32,38335107,34486833,0.75,South America,37,0,1,Medium
C0113,Public,50,21.65,0.86,6,513926,79,246449909,167463680,2.94,Middle East,31,0,2,High
C0114,Foreign Subsidiary,41,28.89,0.51,11,4459058,55,461143154,71449034,3.6,North America,51,0,1,High
C0115,Public,97,5.11,0.68,2,3260182,81,898111938,154633373,0.49,South America,49,1,3,High
C0116,Private,65,23.94,0.08,2,2887316,82,953164697,59338462,3.15,North America,64,1,2,High
C0117,Public,75,22.9,0.45,3,4619238,86,183586231,193172724,1.92,South America,89,0,0,High
C0118,Foreign Subsidiary,72,14.54,0.09,6,2294334,35,942586788,124377159,0.71,South America,60,0,0,High
C0119,Foreign Subsidiary,86,18.54,0.6,6,3135380,59,732356065,16504118,3.22,Asia,70,1,1,High
C0120,Private,52,12.41,0.28,4,1662319,67,157848169,58267301,1.42,South America,96,0,3,High
C0121,Public,79,28.7,0.29,3,4786714,65,274510408,67450378,0.93,South America,53,0,1,High
C0122,Foreign Subsidiary,64,24.04,0.08,8,357364,24,271252907,90443012,0.56,North America,44,0,1,Medium
C0123,Private,43,20.98,0.31,3,4059289,44,480781389,71603587,2.07,EU,67,0,1,High
C0124,Foreign Subsidiary,81,16.78,0.51,6,3425554,57,927956782,132946983,3.14,South America,67,1,1,High
C0125,Foreign Subsidiary,58,13.74,0.58,5,2563038,73,570124448,108017418,4.88,South America,95,0,6,High
C0126,Public,57,29.68,0.07,3,4445414,64,845851557,84196905,1.76,EU,34,0,1,High
C0127,Foreign Subsidiary,76,18.54,0.65,5,900161,58,636088516,117265812,3.1,South America,31,0,2,Medium
C0128,Public,69,20.04,0.49,5,2789356,47,809933874,139293632,0.68,Middle East,31,0,1,High
C0129,Foreign Subsidiary,58,20.62,0.54,3,4583873,72,334121134,4840583,4.69,Middle East,67,1,3,High
C0130,Private,97,18.45,0.83,3,3919056,73,837368987,160622582,3.73,North America,66,0,2,High
C0131,Foreign Subsidiary,62,12.68,0.34,5,3475886,39,664492896,10192614,3.59,Asia,39,0,2,High
C0132,Public,98,8.61,0.17,6,3868717,74,868607892,49508047,2.78,Middle East,53,0,1,High
C0133,Public,93,7.96,0.55,5,1746927,84,44538438,24115076,2.86,Middle East,53,0,2,High
C0134,Private,55,27.72,0.95,4,3942090,41,784601703,8700366,2.29,South America,33,1,5,High
C0135,Foreign Subsidiary,40,11.71,0.52,3,4890155,70,615289826,26452250,0.32,South America,69,0,2,High
C0136,Foreign Subsidiary,51,6.67,0.83,6,4061832,31,965082630,124923229,0.45,Middle East,43,0,3,High
C0137,Private,63,28.93,0.76,4,1229894,78,945125703,149119864,1.04,Middle East,55,0,5,High
C0138,Foreign Subsidiary,73,9.62,0.52,8,2348810,73,563722418,111584220,1.02,South America,41,0,1,High
C0139,Foreign Subsidiary,92,23.75,0.65,5,2463346,72,40777003,11048590,0.38,EU,56,0,2,High
C0140,Public,96,15.16,0.41,8,3232311,57,417605883,29128013,2.53,Middle East,35,0,4,High
C0141,Foreign Subsidiary,47,8.79,0.53,3,419971,31,238748009,37358600,2.59,Asia,56,0,3,High
C0142,Foreign Subsidiary,57,17.43,0.51,6,2511732,26,175191326,13757053,3.04,EU,43,1,2,High
C0143,Private,96,5.44,0.71,5,3372648,87,925121463,189475030,3.96,Asia,51,0,0,High
C0144,Private,87,30.23,0.41,4,2511918,48,907322820,198138961,4.69,Asia,78,0,5,High
C0145,Public,44,20.4,0.1,6,4619893,64,393782011,170901515,4.75,North America,49,0,3,High
C0146,Foreign Subsidiary,65,9.17,0.79,4,2623008,29,770562884,136753007,4.51,South America,32,0,0,High
C0147,Foreign Subsidiary,69,12.11,0.68,4,3914801,23,248826903,41345156,3.73,Asia,78,0,3,High
C0148,Foreign Subsidiary,93,18.44,0.95,4,2780619,43,288785461,30063514,3.39,Middle East,54,0,5,High
C0149,Public,52,10.67,0.43,3,104444,45,438428437,153690173,0.68,Middle East,56,0,2,High
C0150,Public,58,13.06,0.08,6,2665342,75,265936619,164734755,3.32,EU,31,0,1,High
C0151,Private,68,21.03,0.12,6,3208231,42,837614013,150056098,0.87,Middle East,51,0,3,High
C0152,Public,42,29.98,0.77,4,924136,28,43932172,141708375,3.75,Middle East,95,0,2,High
C0153,Foreign Subsidiary,65,17.06,0.07,7,2420832,44,9557525,45474741,0.89,North America,77,0,2,High
C0154,Foreign Subsidiary,79,26.51,0.91,5,3177071,51,576736665,47560035,3.44,Asia,82,1,3,High
C0155,Public,98,31.3,0.28,7,2839277,26,838664064,86152246,0.45,South America,30,1,5,High
C0156,Foreign Subsidiary,97,11.49,0.9,1,836107,78,968233616,189927075,1.64,EU,83,0,2,Medium
C0157,Foreign Subsidiary,97,29.22,0.77,6,611514,78,250557330,40536350,1.93,North America,68,1,3,High
C0158,Public,51,27.72,0.87,6,3273403,81,447170753,88325477,1.64,Asia,39,0,4,High
C0159,Public,41,15.71,0.21,6,2847303,36,20259960,146988304,1.62,Asia,41,1,1,High
C0160,Foreign Subsidiary,50,34.69,0.6,4,1978394,54,532384753,33630938,2.71,Middle East,66,1,1,High
C0161,Foreign Subsidiary,83,12.88,0.09,7,4795492,77,679513587,167201441,4.14,Middle East,75,1,3,High
C0162,Foreign Subsidiary,67,12.64,0.2,7,2760121,48,298881885,22128640,4.38,EU,46,1,2,High
C0163,Private,57,28.17,0.31,4,1720870,82,438231533,57930436,0.46,South America,32,1,2,High
C0164,Private,52,18.04,0.74,6,2702734,75,772386326,100527361,1.04,Middle East,88,0,3,High
C0165,Private,76,14.92,0.02,3,2181394,82,880386233,96100601,1.62,South America,56,1,1,High
C0166,Public,61,10.36,0.9,3,49165,66,883692238,164804462,3.45,Middle East,44,0,1,Medium
C0167,Private,51,27.96,0.07,9,3427654,34,88548219,153877044,2.07,South America,74,1,1,High
C0168,Public,41,28.59,0.38,6,3263191,76,895580822,99319898,2.44,Middle East,70,0,3,High
C0169,Public,76,22.0,0.08,4,2773784,26,121178315,10935454,3.94,Middle East,96,0,4,High
C0170,Private,46,33.72,0.77,1,4159064,37,712956314,128541582,3.25,Middle East,34,0,3,High
C0171,Private,65,14.54,0.14,10,1904433,25,639800133,32318877,2.98,Middle East,63,0,2,High
C0172,Private,65,11.59,0.88,1,3911246,62,77804061,30376051,2.94,South America,92,0,1,High
C0173,Foreign Subsidiary,63,25.32,0.53,4,2589539,76,544936772,175146263,1.08,North America,42,0,1,High
C0174,Private,51,27.75,0.95,5,4521409,60,386006765,66722587,0.64,EU,43,0,4,High
C0175,Foreign Subsidiary,55,11.75,0.29,6,3831451,70,670482405,71327375,1.7,North America,90,0,0,High
C0176,Public,62,7.3,0.45,2,3784543,80,371697378,128831846,3.87,South America,32,0,1,High
C0177,Foreign Subsidiary,79,29.32,0.69,2,2376550,38,220160246,199838485,4.28,EU,32,0,1,High
C0178,Private,99,34.3,0.83,2,4620800,40,192576383,43763525,4.01,Middle East,74,0,2,High
C0179,Public,48,24.34,0.42,9,3029398,54,854819781,196898949,0.87,North America,47,0,3,High
C0180,Public,71,13.34,0.89,6,4744815,73,98930509,127053825,4.6,EU,61,0,3,High
C0181,Public,54,34.9,0.12,5,1209418,45,670268787,44050023,2.0,North America,73,0,1,High
C0182,Foreign Subsidiary,76,31.8,0.71,5,4948867,60,156794865,152805012,4.2,South America,66,0,0,High
C0183,Private,52,20.4,0.35,4,3042248,31,34887760,38540054,3.17,EU,56,0,2,High
C0184,Public,44,29.76,0.1,7,4234272,24,188656328,29729528,3.99,Middle East,69,0,3,High
C0185,Public,50,29.47,0.39,7,1090747,45,568588062,88887836,0.25,Asia,53,0,1,High
C0186,Public,49,33.04,0.88,5,1114906,24,894084451,149642899,2.23,Middle East,85,1,2,High
C0187,Foreign Subsidiary,91,30.23,0.98,6,2869098,57,224389001,108446240,3.07,Asia,65,0,3,High
C0188,Foreign Subsidiary,52,24.31,0.39,10,3934235,25,412195994,105967215,1.91,Middle East,35,0,2,High
C0189,Private,80,23.28,0.89,2,2048106,20,215081328,129207068,3.97,South America,46,0,1,High
C0190,Foreign Subsidiary,92,19.02,0.51,3,1686561,58,790046963,194280857,3.65,EU,90,0,2,High
C0191,Public,85,23.79,0.72,7,1865116,68,772282372,91314396,2.01,North America,56,0,4,High
C0192,Private,89,28.86,0.05,10,3560031,56,420861968,146896004,2.25,Middle East,73,1,1,High
C0193,Public,54,34.07,0.56,6,1928760,20,887510878,53410959,2.51,Asia,99,0,1,High
C0194,Public,81,19.02,0.07,1,574202,56,872508408,13604397,2.77,EU,32,0,1,Medium
C0195,Foreign Subsidiary,95,22.21,0.27,5,3969562,38,832609677,108914605,1.56,North America,68,1,1,High
C0196,Private,46,18.34,0.57,7,2761417,56,926260502,45629897,1.22,Asia,64,0,1,High
C0197,Foreign Subsidiary,79,25.05,0.81,1,1638522,75,639075243,70971920,0.65,Asia,95,0,2,High
C0198,Foreign Subsidiary,67,23.9,0.56,8,1169496,86,588978844,195347350,0.79,EU,46,0,2,High
C0199,Private,71,5.54,0.94,7,4420155,54,270578086,179673040,2.39,South America,38,0,2,High
C0200,Public,74,21.23,0.81,6,4736330,45,606962190,70033351,3.36,South America,38,1,3,High
C0201,Public,54,7.65,0.16,4,4499348,65,493032686,96178798,3.36,South America,64,0,1,High
C0202,Private,87,5.79,0.39,5,3003517,54,423064971,156945462,2.34,EU,38,0,3,High
C0203,Public,75,28.74,0.67,3,3012502,41,166627744,97214075,3.13,Asia,41,0,1,High
C0204,Private,60,12.76,0.94,3,1493260,33,734301947,29143068,4.8,EU,96,0,2,High
C0205,Private,45,15.22,0.99,2,4966261,48,689752632,178591946,4.91,South America,86,0,4,High
C0206,Foreign Subsidiary,40,6.92,0.76,3,641924,77,790264505,93724126,4.24,Middle East,72,0,0,High
C0207,Private,43,10.39,0.57,6,1573706,50,589513255,145469674,4.58,EU,51,0,2,High
C0208,Foreign Subsidiary,50,27.97,0.76,5,2675639,36,558164381,179135098,0.77,Middle East,89,0,1,High
C0209,Public,83,19.81,0.27,3,4766471,42,97736789,197120949,1.47,South America,59,0,5,High
C0210,Public,65,31.42,0.28,3,2604649,78,497067231,194764397,4.77,EU,60,0,4,High
C0211,Public,76,16.92,0.65,6,574935,55,799852307,46609712,0.74,EU,94,1,1,High
C0212,Public,62,13.06,0.87,3,3757925,78,174805562,170380886,4.39,Middle East,94,0,2,High
C0213,Foreign Subsidiary,68,15.43,0.97,4,779226,21,285812673,153669720,2.25,North America,66,0,1,Medium
C0214,Public,60,26.38,0.34,4,1453225,31,954131128,86124247,4.88,Middle East,33,0,1,High
C0215,Private,87,21.65,0.8,5,160882,29,69355550,120387782,3.61,South America,39,0,4,Medium
C0216,Private,84,32.13,0.85,7,4477946,21,56447801,128388699,1.75,Middle East,56,0,1,High
C0217,Private,84,23.07,0.62,11,827390,35,355551729,197505469,0.68,North America,31,0,3,Medium
C0218,Foreign Subsidiary,88,19.79,0.35,10,2992499,55,342669814,164686097,1.27,South America,84,0,2,High
C0219,Public,66,28.57,0.62,1,4023780,68,583232731,79679091,3.55,EU,97,0,5,High
C0220,Public,78,33.43,0.58,5,1597804,55,840568130,20341631,1.67,EU,69,0,4,High
C0221,Public,79,15.68,0.61,2,1759746,25,107950330,126826242,4.75,North America,37,1,1,High
C0222,Foreign Subsidiary,52,12.5,0.62,2,109103,21,108577747,155628724,2.72,South America,44,0,1,High
C0223,Private,62,23.49,0.85,1,81637,47,312004514,159025893,2.67,South America,90,0,2,Medium
C0224,Private,98,19.97,0.17,5,1779605,26,211939581,150902514,4.06,EU,36,0,1,High
C0225,Public,55,34.68,0.37,3,633767,40,785766738,133386498,4.01,Middle East,53,0,1,High
C0226,Private,69,18.87,0.59,3,3905712,81,602017477,156902511,3.47,Middle East,49,0,3,High
C0227,Private,43,7.23,0.28,5,4402460,60,710583562,60229676,4.77,South America,84,0,3,High
C0228,Foreign Subsidiary,79,34.32,0.98,4,3660489,62,404392556,91017513,2.94,North America,34,0,1,High
C0229,Foreign Subsidiary,55,30.31,0.26,5,3852304,27,47328133,112724652,4.51,North America,36,0,3,High
C0230,Foreign Subsidiary,70,10.35,0.47,6,349863,33,410692369,75752063,2.41,EU,31,0,5,Medium
C0231,Foreign Subsidiary,92,32.14,0.88,4,3546818,30,823423278,143725029,3.83,Asia,50,1,4,High
C0232,Public,81,15.22,0.08,3,3179724,29,123744509,129450392,1.25,North America,32,1,4,High
C0233,Foreign Subsidiary,64,16.31,0.82,7,3010693,48,797554509,64987614,4.27,Asia,82,0,2,High
C0234,Private,83,32.19,0.57,2,2135504,74,221302784,189332721,1.83,Middle East,43,0,1,High
C0235,Public,51,20.9,0.03,7,2898470,21,285115637,90018307,3.66,EU,82,0,0,High
C0236,Private,65,9.13,0.9,6,3107707,20,961410236,31115963,1.68,Middle East,92,0,1,High
C0237,Private,76,16.07,0.04,6,973344,66,942032528,157275600,4.77,North America,83,0,5,Medium
C0238,Private,87,26.66,0.52,2,478569,37,369436667,62608815,1.03,Middle East,53,0,2,Medium
C0239,Foreign Subsidiary,72,10.23,0.05,1,47254,54,455341621,117520171,2.68,South America,79,1,1,High
C0240,Foreign Subsidiary,67,22.71,0.07,4,4003699,81,50619021,47089691,2.03,Middle East,35,0,2,High
C0241,Public,48,25.86,0.89,8,3128909,44,196984670,37486025,2.72,Asia,55,1,4,High
C0242,Public,51,15.32,0.77,5,2772829,48,445691244,42546363,1.23,Asia,63,0,2,High
C0243,Foreign Subsidiary,44,25.82,0.2,8,2583677,38,181872649,133013790,2.57,Middle East,73,0,4,High
C0244,Private,93,31.53,0.62,6,4158534,85,259846693,179291770,0.75,North America,98,0,3,High
C0245,Public,91,19.16,0.79,2,4282429,88,749944864,159765740,1.23,Asia,96,0,2,High
C0246,Foreign Subsidiary,93,16.49,0.89,2,4328774,29,113026692,66747119,3.39,EU,34,0,1,High
C0247,Foreign Subsidiary,67,12.53,0.47,6,3544238,44,64589199,107427103,2.4,South America,68,0,1,High
C0248,Foreign Subsidiary,95,23.13,0.9,2,916439,46,701931347,130346560,2.53,North America,82,0,0,Medium
C0249,Private,74,31.4,0.51,6,2522907,80,530838255,5611923,4.67,EU,37,0,2,High
C0250,Foreign Subsidiary,44,14.74,0.69,3,4049532,29,100549351,151454378,1.15,North America,97,0,2,High
C0251,Foreign Subsidiary,73,16.89,0.98,2,2389349,55,220641552,71580280,2.8,Asia,65,0,1,High
C0252,Foreign Subsidiary,85,17.2,0.24,7,1523522,58,960093169,86514240,2.7,North America,99,0,0,High
C0253,Foreign Subsidiary,73,21.82,0.17,3,1234635,26,210623217,120326985,2.28,EU,98,1,2,High
C0254,Public,52,11.85,0.34,6,4699071,34,45718088,31316110,4.17,North America,35,0,0,High
C0255,Public,78,29.67,0.16,5,2316008,32,64939429,62737523,2.88,Asia,31,0,1,High
C0256,Foreign Subsidiary,81,13.87,0.28,7,1798070,52,854695721,140077658,4.12,Middle East,30,0,2,High
C0257,Private,84,26.16,0.74,4,3792104,85,723353608,40626453,4.31,EU,91,0,2,High
C0258,Public,87,20.4,0.48,9,4709637,30,472843406,39157722,0.45,Middle East,58,0,1,High
C0259,Foreign Subsidiary,97,22.58,0.38,4,4717634,40,240122867,63605560,4.7,Asia,47,0,5,High
C0260,Public,53,10.39,0.37,7,2662157,42,253592685,130455435,3.84,EU,32,0,2,High
C0261,Public,50,27.05,0.19,3,2342512,63,876149645,125097198,2.47,Middle East,60,0,2,High
C0262,Private,81,10.66,0.45,4,1692592,84,290173192,31220410,4.12,EU,51,0,4,High
C0263,Foreign Subsidiary,77,8.4,0.62,0,3982992,89,374265288,49715985,1.23,South America,37,0,0,High
C0264,Foreign Subsidiary,43,21.4,0.14,7,3580598,55,388263136,116456192,4.12,Middle East,51,0,5,High
C0265,Private,92,26.28,0.97,2,299181,81,297132606,103020908,2.83,Middle East,58,1,3,High
